BA_guess,key_fangraphs
0.252872,15653
0.187569,14128
0.227295,22209
0.286579,23667
0.257857,27615
0.231363,19958
0.217954,12164
0.214195,2900
0.21171,18067
0.24221,19262
0.262858,19890
0.229062,27735
0.226874,14566
0.207259,10200
0.214552,19806
0.232642,24703
0.235847,12160
0.252434,16434
0.22469,20002
0.22411,24782
0.238168,13723
0.216483,10950
0.214033,25505
0.219439,15194
0.230703,29591
0.243089,19892
0.233767,11265
0.215597,19864
0.230307,20321
0.225371,14130
0.252018,27630
0.248296,26477
0.228325,16424
0.258616,25353
0.271276,17696
0.244911,16357
0.220594,26420
0.249116,9256
0.242556,13768
0.23103,27490
0.204058,20287
0.237585,25643
0.243675,19906
0.246911,22505
0.230601,14567
0.23893,14225
0.225923,15905
0.254075,19608
0.228239,14773
0.23795,20003
0.214391,25543
0.242546,24589
0.226776,15117
0.22345,15730
0.198433,19562
0.237422,19683
0.244339,16451
0.228853,19928
0.248364,13836
0.226069,16403
0.210943,20242
0.206829,19960
0.233593,26319
0.23351,18217
0.22201,20805
0.233518,23691
0.239426,13853
0.257388,20970
0.237281,12434
0.229918,5452
0.231986,22184
0.237434,21837
0.247003,21646
0.234266,14894
0.217913,10655
0.254061,20352
0.207165,22202
0.234604,24597
0.254633,31166
0.231347,25805
0.214372,25867
0.250392,23794
0.228603,22842
0.237118,22274
0.253436,29931
0.255794,15878
0.233876,14477
0.251801,20538
0.225002,18603
0.249606,14350
0.221278,19921
0.213481,21587
0.242274,20078
0.218959,16375
0.248515,23698
0.239396,22515
0.222717,20220
0.228031,19813
0.216231,21987
0.228308,22261
0.232371,12092
0.225461,15124
0.235455,21716
0.255079,22054
0.221453,20626
0.199866,17161
0.227574,18872
0.237754,25040
0.239138,25822
0.196779,12981
0.237519,12371
0.244647,20233
0.238621,19508
0.21647,16953
0.193497,5273
0.244674,17932
0.225536,21562
0.237141,24934
0.211376,13897
0.243569,24400
0.204139,25813
0.234265,27604
0.214985,25817
0.247671,11902
0.223121,26208
0.217774,25111
0.213932,14196
0.216494,27531
0.22499,20493
0.193308,12977
0.254379,10231
0.223802,11339
0.223437,15104
0.218994,22906
0.217003,15271
0.204054,17954
0.22013,19931
0.22745,18032
0.217361,18353
0.217074,13755
0.228008,17321
0.22074,22471
0.22338,8418
0.216055,22164
0.210412,17766
0.250618,5913
0.20695,14942
0.229362,6012
0.219298,19458
0.203894,13854
0.203867,19358
0.212954,12984
0.22729,23695
0.238454,20311
0.221223,16496
0.206184,15082
0.220251,26151
0.245317,12005
0.220436,19432
0.24523,12950
0.234948,17838
0.21093,20275
0.227671,9929
0.189725,19422
0.224542,18395
0.226426,18889
0.245405,15487
0.200524,22232
0.281879,15794
0.250986,14691
0.246348,19553
0.245446,20056
0.215521,17040
0.214824,20463
0.230775,13369
0.233088,13744
0.226611,20404
0.23385,21560
0.219191,14811
0.238528,17893
0.21284,24451
0.243094,18123
0.195584,16221
0.230167,10047
0.229364,25482
0.22182,19212
0.23372,19901
0.230844,23264
0.212252,18063
0.23066,16947
0.251856,25569
0.218966,13329
0.22525,19983
0.234462,17326
0.214599,16623
0.208225,17307
0.224796,2396
0.224933,15654
0.204536,15983
0.215051,10323
0.208524,23378
0.226597,25055
0.206666,8090
0.220423,19717
0.200416,25459
0.240367,12155
0.253597,17992
0.232659,18400
0.205334,21078
0.228709,19878
0.238883,13324
0.216583,18365
0.222029,13359
0.21852,11342
0.209698,22557
0.225325,21497
0.214434,12775
0.190352,9952
0.209111,20054
0.217581,19788
0.242027,15149
0.227206,27845
0.252123,29715
0.224065,18433
0.217894,20572
0.213458,23788
0.22692,19948
0.216715,20157
0.209086,27467
0.215564,5297
0.216869,18607
0.266745,7859
0.179218,14735
0.248997,10762
0.222714,11200
0.239885,3516
0.246411,19198
0.212373,4314
0.254815,14366
0.232892,19273
0.232866,22169
0.191843,10441
0.212885,19966
0.217568,4892
0.233069,30162
0.227881,25845
0.205565,15585
0.20571,22117
0.248619,20543
